text,category,subcategory,role_applicability,contract_type,jurisdiction,clause_type,identifier,title,source,version,is_reference,quality,tags,recommended_language,notes
권리·의무의 양도는 사전 서면동의 없이는 불가하다.,Assignment,,both,NDA,KR,article,,,Pro Pack,2025.08,True,5,"standard,good",,
"면책은 상대방의 지침 위반, 허용되지 않은 사용에는 적용되지 않는다.",Indemnity,,both,NDA,US,article,,,Pro Pack,2025.08,True,5,"standard,good",,
"목적 범위 내에서만 사용하며, 제3자 제공 시 사전 서면동의 및 별도 비밀유지계약 체결 후 제공한다.",UseAndPurpose,ThirdPartyConsent+DownstreamNDA,both,NDA,KR,article,제3조,목적 외 사용금지/제3자 제공,표준비밀유지계약서(2022.2.15),2025.08,True,5,"standard,good",,
"반환일에 원본 즉시 반환 또는 폐기하며, 폐기 시 증명서를 제공한다.",Term_ReturnDestruction,ReturnOrDestroy+Certificate,recipient,NDA,KR,article,제5조,반환/폐기,표준비밀유지계약서(2022.2.15),2025.08,True,5,"standard,good",,
"배상책임의 총한도는 최근 12개월 지급수수료를 초과하지 않으며, 간접·특별·결과적 손해는 제외한다.",LimitationOfLiability,,both,NDA,US,article,,,Pro Pack,2025.08,True,5,"standard,good",,
백업 및 법적 보존 사본은 보존정책에 따라 관리한다.,Term_ReturnDestruction,,both,NDA,KR,article,,,Pro Pack,2025.08,True,5,"standard,good",,
"법원·기관의 판결/명령 또는 법령에 따른 공개의무가 있는 경우 공개할 수 있으나, 사전에 상대방에게 서면으로 통지한다.",CompelledDisclosure,CourtOrder,both,NDA,KR,article,제5조,비밀유지의무 예외/통지,외부관계용 비밀유지서약(샘플),2025.08,True,5,"standard,good",,
법적 요구 시 가능한 한 신속히 통지하고 보호명령 등 조치에 협력한다.,CompelledDisclosure,,both,NDA,KR,article,,,Pro Pack,2025.08,True,5,"standard,good",,
본 계약은 제3자에게 권리를 부여하지 않는다.,ThirdPartyBeneficiaries,,both,NDA,KR,article,,,Pro Pack,2025.08,True,5,"standard,good",,
"본 계약의 준거법은 대한민국 법으로 하고, 분쟁은 서울중앙지방법원을 전속 관할로 한다.",GoverningLaw_Jurisdiction,,both,NDA,KR,article,,,Pro Pack,2025.08,True,5,"standard,good",,
본 계약이 전면 합의이며 변경은 서면에 의해서만 유효하다.,EntireAgreement_Amendment,,both,NDA,US,article,,,Pro Pack,2025.08,True,5,"standard,good",,
"분쟁은 대한상사중재원 규칙에 따른 중재로 해결하며, 중재지 서울, 절차언어는 한국어로 한다.",GoverningLaw_Jurisdiction,,both,NDA,KR,article,,,Pro Pack,2025.08,True,5,"standard,good",,
불가항력 종료 후 합리적 기간 내 이행을 재개한다.,ForceMajeure,,both,NDA,KR,article,,,Pro Pack,2025.08,True,5,"standard,good",,
비밀유지의무 위반 시 금지명령 또는 특정이행을 구할 수 있다.,InjunctiveRelief,,both,NDA,KR,article,,,Pro Pack,2025.08,True,5,"standard,good",,
비밀정보 제공 사실만으로 권리나 사용권을 부여하지 않는다.,NoLicense,NoGrant,recipient,NDA,KR,article,제7조,권리의 부존재,외부관계용 비밀유지서약(샘플),2025.08,True,5,"standard,good",,
비밀정보는 계약 목적 달성을 위해서만 사용하며 필요 최소 범위로 공유한다.,UseAndPurpose,,both,NDA,KR,article,,,Pro Pack,2025.08,True,5,"standard,good",,
비밀정보를 이용해 상대 거래를 우회하는 행위를 금지한다.,NonCircumvention,,both,NDA,US,article,,,Pro Pack,2025.08,True,5,"standard,good",,
"비밀정보에는 서면·전자·구두 정보가 포함되며, 구두 제공 시 10~15일 내 서면 요약 통지한다.",Definition_ConfidentialInfo,,both,NDA,US,article,,,Pro Pack,2025.08,True,5,"standard,good",,
"비밀표시가 없더라도 비밀관리될 수 있으며, 의문이 있으면 15일 내 서면 확인 요청/회신한다.",Definition_ConfidentialInfo,NoMarkingStillConfidential,both,NDA,KR,article,제2조,정의/표시,표준비밀유지계약서(2022.2.15),2025.08,True,5,"standard,good",,
상대방 인력에 대한 비유인/채용금지 기간과 범위를 정한다.,NonSolicit_NonHire,,both,NDA,KR,article,,,Pro Pack,2025.08,True,5,"standard,good",,
상호명·로고·거래사실 공개는 사전 서면동의가 필요하다.,Publicity,,both,NDA,US,article,,,Pro Pack,2025.08,True,5,"standard,good",,
소유권은 제공자에게 유지된다.,NoLicense,,both,NDA,US,article,,,Pro Pack,2025.08,True,5,"standard,good",,
손해배상 산정 시 손실 최소화 의무를 고려한다.,LimitationOfLiability,,both,NDA,US,article,,,Pro Pack,2025.08,True,5,"standard,good",,
"수신 전 보유 정보, 공개정보, 제3자로부터 적법하게 수령한 정보는 비밀에서 제외된다.",Exclusions,,both,NDA,KR,article,,,Pro Pack,2025.08,True,5,"standard,good",,
알아야 할 필요가 있는 인원으로 접근을 제한한다.,UseAndPurpose,,both,NDA,KR,article,,,Pro Pack,2025.08,True,5,"standard,good",,
"양도는 사전 서면동의 없이는 불가하며, 계약 변경은 서면합의만 유효하다.",Assignment,NoAssignmentWithoutConsent,both,NDA,KR,article,제8조,양도/변경,표준비밀유지계약서(2022.2.15),2025.08,True,5,"standard,good",,
역분석·분해·디컴파일 및 성능 벤치마크 공개를 금지한다.,ReverseEngineering_Benchmarking,,both,NDA,KR,article,,,Pro Pack,2025.08,True,5,"standard,good",,
"요청 시 비밀정보가 포함된 자료·장비·서류 등을 즉시 반환하거나 폐기하고, 폐기 증명서를 제공한다.",Term_ReturnDestruction,ReturnOrDestroy+Certificate,recipient,NDA,KR,article,제6조,반환/폐기,외부관계용 비밀유지서약(샘플),2025.08,True,5,"standard,good",,
"이미 공개된 정보, 독자 개발 정보 등 통상적 예외가 적용된다.",Definition_ConfidentialInfo,,both,NDA,US,article,,,Pro Pack,2025.08,True,5,"standard,good",,
"일부 무효 시 나머지는 유효하며, 권리불행사는 포기로 간주하지 않는다.",Severability_Waiver,,both,NDA,US,article,,,Pro Pack,2025.08,True,5,"standard,good",,
잔존지식 예외를 허용하되 비밀정보 자체의 사용·공개로 해석되지 않도록 한다.,Residuals,,both,NDA,KR,article,,,Pro Pack,2025.08,True,5,"standard,good",,
전자서명 및 분할서명을 유효한 서명으로 인정한다.,ESignature_Counterparts,,both,NDA,KR,article,,,Pro Pack,2025.08,True,5,"standard,good",,
"접근통제, 암호화, 로그, 교육 등 합리적 보안조치를 유지한다.",RecipientSecurity,,both,NDA,KR,article,,,Pro Pack,2025.08,True,5,"standard,good",,
정보 제공만으로 어떠한 권리나 라이선스도 부여되지 않는다.,NoLicense,,both,NDA,US,article,,,Pro Pack,2025.08,True,5,"standard,good",,
"제3자의 지식재산권 침해 주장에 대해 제공자는 방어·합의 통제권을 가지며, 수령자는 합리적으로 협조한다.",Indemnity,,both,NDA,US,article,,,Pro Pack,2025.08,True,5,"standard,good",,
제공받는 자에게 기술자료에 관한 권리나 사용권을 부여하지 않는다.,NoLicense,NoGrant,recipient,NDA,KR,article,제6조,권리 부존재,표준비밀유지계약서(2022.2.15),2025.08,True,5,"standard,good",,
"지배권 변경 또는 계열사 간 이전은 예외로 허용하며, 양수인은 동일한 의무를 승계한다.",Assignment,,both,NDA,KR,article,,,Pro Pack,2025.08,True,5,"standard,good",,
"천재지변, 정부 규제, 대규모 장애 등 불가항력 시 의무 이행은 면책되며 지체 없이 통지한다.",ForceMajeure,,both,NDA,KR,article,,,Pro Pack,2025.08,True,5,"standard,good",,
침해 발생 시 72시간 내 통지 및 공동 대응한다.,PersonalData,,both,NDA,US,article,,,Pro Pack,2025.08,True,5,"standard,good",,
"통지는 수신 확인 가능한 이메일 또는 등기우편으로 하고, 이메일 송신 후 2영업일이 경과하면 수령된 것으로 본다.",Notice,,both,NDA,US,article,,,Pro Pack,2025.08,True,5,"standard,good",,
통지처 변경은 사전 서면 통지로 업데이트한다.,Notice,,both,NDA,US,article,,,Pro Pack,2025.08,True,5,"standard,good",,
"30일 내 파기하고, 기술적 불가 사유가 있는 사본은 접근을 차단한다.",Term_ReturnDestruction,,both,NDA,KR,article,,,Pro Pack,2025.08,True,4,fallback,,
"If a party fails to enforce a right, that is not a waiver of that right at any time.",Severability_Waiver,Waiver,both,NDA,US,article,§5 Waiver,Waiver,oneNDA v2.1,2025.08,True,4,"standard,good",,
This Agreement may be executed in counterparts; signatures on counterparts have the same effect as if on a single copy.,ESignature_Counterparts,Counterparts,both,NDA,US,article,§5 Counterparts,Counterparts,oneNDA v2.1,2025.08,True,4,"standard,good",,
공개채용 및 자발적 지원은 예외로 한다.,NonSolicit_NonHire,,both,NDA,US,article,,,Pro Pack,2025.08,True,4,fallback,,
구두 정보는 즉시 비밀로 취급하되 15일 내 요약본을 제공한다.,Definition_ConfidentialInfo,,both,NDA,US,article,,,Pro Pack,2025.08,True,4,fallback,,
국제 인증 또는 동등한 보안표준을 준거로 한다.,RecipientSecurity,,both,NDA,US,article,,,Pro Pack,2025.08,True,4,fallback,,
금지명령 청구는 상호 허용한다.,InjunctiveRelief,,both,NDA,KR,article,,,Pro Pack,2025.08,True,4,fallback,,
"면책 범위는 최종 확정판결 또는 서면 합의금에 한정하며, 간접손해는 제외한다.",Indemnity,,both,NDA,KR,article,,,Pro Pack,2025.08,True,4,fallback,,
무효 조항은 당사자 의도에 가장 가까운 유효 조항으로 대체한다.,Severability_Waiver,,both,NDA,KR,article,,,Pro Pack,2025.08,True,4,fallback,,
법정 공시 범위 내에서 최소한으로 공개한다.,Publicity,,both,NDA,US,article,,,Pro Pack,2025.08,True,4,fallback,,
본 계약 체결사실이나 내용을 사전 승낙 없이 공표하거나 제3자에게 알려서는 아니 된다.,Publicity,NoPublicity,both,NDA,KR,article,제5조,공표 제한,외부관계용 비밀유지서약(샘플),2025.08,True,4,"standard,good",,
분쟁은 지정 법원을 제1심 관할로 하여 소송으로 해결한다.,GoverningLaw_Jurisdiction,CourtJurisdiction,both,NDA,KR,article,제12조,분쟁 해결,표준비밀유지계약서(2022.2.15),2025.08,True,4,"standard,good",,
사전 동의하에 내부 평가 목적의 벤치마크만 허용한다.,ReverseEngineering_Benchmarking,,both,NDA,KR,article,,,Pro Pack,2025.08,True,4,fallback,,
사전 통지가 금지된 경우 공개 후 지체 없이 통지한다.,CompelledDisclosure,,both,NDA,US,article,,,Pro Pack,2025.08,True,4,fallback,,
스캔본 서명은 임시로 인정하고 원본 제출을 요구한다.,ESignature_Counterparts,,both,NDA,KR,article,,,Pro Pack,2025.08,True,4,fallback,,
양 당사자는 장기 지속 시 해지권을 가진다.,ForceMajeure,,both,NDA,KR,article,,,Pro Pack,2025.08,True,4,fallback,,
"양도는 동의를 요하되, 동의는 합리적 사유 없이 지연·거절하지 않는다.",Assignment,,both,NDA,KR,article,,,Pro Pack,2025.08,True,4,fallback,,
역외 이전은 표준계약조항 또는 적정성 결정을 전제로 허용한다.,PersonalData,,both,NDA,KR,article,,,Pro Pack,2025.08,True,4,fallback,,
예외 적용 시 합리적 입증자료를 제시한다.,Exclusions,,both,NDA,US,article,,,Pro Pack,2025.08,True,4,fallback,,
우회 거래 발생 시 사전 협의 및 합리적 보상 원칙을 둔다.,NonCircumvention,,both,NDA,KR,article,,,Pro Pack,2025.08,True,4,fallback,,
일부 무효여도 나머지는 유효하다(분리가능).,Severability_Waiver,Severability,both,NDA,KR,article,제9조,일부무효 특칙,표준비밀유지계약서(2022.2.15),2025.08,True,4,"standard,good",,
잔존지식 예외는 사람의 기억에 한정하고 문서/코드 재현은 금지한다.,Residuals,,both,NDA,KR,article,,,Pro Pack,2025.08,True,4,fallback,,
"전자서명/스캔본 서명을 상호 인정하며, 분할서명도 동일 효력을 갖는다.",ESignature_Counterparts,ESignature+Counterparts,both,NDA,KR,article,,,협상 타협안,2025.08,True,4,fallback,,
제휴사에 한해 명시적으로 승인된 범위에서만 제3자 권리를 인정한다.,ThirdPartyBeneficiaries,,both,NDA,US,article,,,Pro Pack,2025.08,True,4,fallback,,
주문서/부속서에 한해 전자문서로 변경을 허용한다.,EntireAgreement_Amendment,,both,NDA,KR,article,,,Pro Pack,2025.08,True,4,fallback,,
"준거법은 한국법으로 하며, 관할은 상호 합의된 중재기관으로 정한다.",GoverningLaw_Jurisdiction,,both,NDA,KR,article,,,Pro Pack,2025.08,True,4,fallback,,
"총한도는 최근 6개월 지급수수료로 하되, 서비스 크레딧 제공을 우선 구제로 한다.",LimitationOfLiability,,both,NDA,KR,article,,,Pro Pack,2025.08,True,4,fallback,,
특정 범주의 제3자에게만 사전 승인 하에 공유를 허용한다.,PermittedReceivers,,both,NDA,KR,article,,,Pro Pack,2025.08,True,4,fallback,,
특정 샘플·데모에 한해 제한적 사용권을 별도 서면으로 부여할 수 있다.,NoLicense,,both,NDA,KR,article,,,Pro Pack,2025.08,True,4,fallback,,
평가 및 계획 수립 목적까지만 사용하고 상용화는 사전 동의를 요한다.,UseAndPurpose,,both,NDA,US,article,,,Pro Pack,2025.08,True,4,fallback,,
"평가 및 계획 수립 목적으로만 사용하고, 상용화는 사전 서면 동의를 요한다.",UseAndPurpose,EvalOnly,recipient,NDA,KR,article,,,협상 타협안,2025.08,True,4,fallback,,
"포털 알림과 이메일을 병행하고, 시스템 장애 시 등기우편을 사용한다.",Notice,,both,NDA,US,article,,,Pro Pack,2025.08,True,4,fallback,,
위반 시 손해배상 및 위약벌을 부담한다.,Indemnity,Damages+Penalty,both,NDA,KR,article,제9조,손해배상/위약벌,표준비밀유지계약서(2022.2.15),2025.08,True,3,"standard,good",,
개인정보 이전·처리에 관한 요건을 두지 않는다.,PersonalData,,recipient,NDA,KR,article,,,Pro Pack,2025.08,True,2,"antipattern,bad",역외 이전은 표준계약조항 또는 적정성 결정을 전제로 허용한다.,
관할은 각 당사자의 소재지 법원으로 한다.,GoverningLaw_Jurisdiction,AmbiguousJurisdiction,both,NDA,KR,article,,,현장 안티패턴,2025.08,True,2,"antipattern,bad",전속 관할 또는 중재 규칙/장소/언어를 특정한다.,
구두 변경도 동일한 효력이 있다고 본다.,EntireAgreement_Amendment,,recipient,NDA,US,article,,,Pro Pack,2025.08,True,2,"antipattern,bad",주문서/부속서에 한해 전자문서로 변경을 허용한다.,
구두 정보는 어떠한 경우에도 비밀로 인정하지 않는다.,Definition_ConfidentialInfo,,recipient,NDA,KR,article,,,Pro Pack,2025.08,True,2,"antipattern,bad",구두 정보는 즉시 비밀로 취급하되 15일 내 요약본을 제공한다.,
금지명령 등 특별구제 수단을 명시하지 않는다.,InjunctiveRelief,,recipient,NDA,US,article,,,Pro Pack,2025.08,True,2,"antipattern,bad",금지명령 청구는 상호 허용한다.,
당사자의 배상책임에는 어떠한 제한도 적용되지 않는다.,LimitationOfLiability,,recipient,NDA,KR,article,,,Pro Pack,2025.08,True,2,"antipattern,bad","총한도는 최근 6개월 지급수수료로 하되, 서비스 크레딧 제공을 우선 구제로 한다.",
면책 대상에 당사자의 과실까지 포함한다.,Indemnity,,recipient,NDA,US,article,,,Pro Pack,2025.08,True,2,"antipattern,bad","면책 범위는 최종 확정판결 또는 서면 합의금에 한정하며, 간접손해는 제외한다.",
모든 사본을 즉시 완전 삭제하며 백업/법적 보존 예외는 없다.,Term_ReturnDestruction,,recipient,NDA,US,article,,,Pro Pack,2025.08,True,2,"antipattern,bad","30일 내 파기하고, 기술적 불가 사유가 있는 사본은 접근을 차단한다.",
모든 유형의 손해가 제한 없이 배상 대상에 포함된다.,LimitationOfLiability,,recipient,NDA,KR,article,,,Pro Pack,2025.08,True,2,"antipattern,bad","총한도는 최근 6개월 지급수수료로 하되, 서비스 크레딧 제공을 우선 구제로 한다.",
법적 요구가 있으면 아무 절차 없이 즉시 공개한다.,CompelledDisclosure,,recipient,NDA,KR,article,,,Pro Pack,2025.08,True,2,"antipattern,bad",사전 통지가 금지된 경우 공개 후 지체 없이 통지한다.,
벤치마크 결과를 자유롭게 공개할 수 있다.,ReverseEngineering_Benchmarking,,recipient,NDA,KR,article,,,Pro Pack,2025.08,True,2,"antipattern,bad",사전 동의하에 내부 평가 목적의 벤치마크만 허용한다.,
보안 수준에 관한 의무를 두지 않는다.,RecipientSecurity,,recipient,NDA,US,article,,,Pro Pack,2025.08,True,2,"antipattern,bad",국제 인증 또는 동등한 보안표준을 준거로 한다.,
본 계약은 어떠한 경우에도 양도할 수 없다.,Assignment,,recipient,NDA,KR,article,,,Pro Pack,2025.08,True,2,"antipattern,bad","양도는 동의를 요하되, 동의는 합리적 사유 없이 지연·거절하지 않는다.",
분쟁은 각 당사자의 소재지 법원에서 해결한다.,GoverningLaw_Jurisdiction,,recipient,NDA,KR,article,,,Pro Pack,2025.08,True,2,"antipattern,bad","준거법은 한국법으로 하며, 관할은 상호 합의된 중재기관으로 정한다.",
불가항력의 범위를 제한 없이 광범위하게 정의한다.,ForceMajeure,,recipient,NDA,KR,article,,,Pro Pack,2025.08,True,2,"antipattern,bad",양 당사자는 장기 지속 시 해지권을 가진다.,
비밀 표시된 서면만 비밀정보로 본다.,Definition_ConfidentialInfo,,recipient,NDA,KR,article,,,Pro Pack,2025.08,True,2,"antipattern,bad",구두 정보는 즉시 비밀로 취급하되 15일 내 요약본을 제공한다.,
비밀정보 제공을 사용권 부여로 본다.,NoLicense,,recipient,NDA,US,article,,,Pro Pack,2025.08,True,2,"antipattern,bad",특정 샘플·데모에 한해 제한적 사용권을 별도 서면으로 부여할 수 있다.,
비밀정보는 당사자의 모든 사업 목적에 사용할 수 있다.,UseAndPurpose,,recipient,NDA,US,article,,,Pro Pack,2025.08,True,2,"antipattern,bad",평가 및 계획 수립 목적까지만 사용하고 상용화는 사전 동의를 요한다.,
비밀정보는 당사자의 모든 사업 목적에 자유롭게 사용할 수 있다.,UseAndPurpose,OverbroadPurpose,recipient,NDA,KR,article,,,현장 안티패턴,2025.08,True,2,"antipattern,bad",목적을 구체화하고 필요 최소 범위로 한정한다.,
상대방 동의 없이 자유롭게 양도할 수 있다.,Assignment,,recipient,NDA,KR,article,,,Pro Pack,2025.08,True,2,"antipattern,bad","양도는 동의를 요하되, 동의는 합리적 사유 없이 지연·거절하지 않는다.",
상대방 핵심 인력을 자유롭게 영입할 수 있다.,NonSolicit_NonHire,,recipient,NDA,US,article,,,Pro Pack,2025.08,True,2,"antipattern,bad",공개채용 및 자발적 지원은 예외로 한다.,
수령인은 본 계약과 관련된 모든 청구로부터 제공자를 무조건 면책한다.,Indemnity,Overbroad,recipient,NDA,KR,article,,,현장 안티패턴,2025.08,True,2,"antipattern,bad",면책을 제3자 지식재산권 침해 주장 범위로 한정하고 방어/합의 통제권과 예외를 둔다.,
수신자 범위를 제한하지 않고 자유롭게 재공유할 수 있다.,PermittedReceivers,,recipient,NDA,US,article,,,Pro Pack,2025.08,True,2,"antipattern,bad",특정 범주의 제3자에게만 사전 승인 하에 공유를 허용한다.,
승인 없이 홍보·보도자료에 상대방 상호를 사용할 수 있다.,Publicity,,recipient,NDA,KR,article,,,Pro Pack,2025.08,True,2,"antipattern,bad",법정 공시 범위 내에서 최소한으로 공개한다.,
예외를 두지 않고 모든 정보를 비밀로 본다.,Exclusions,,recipient,NDA,KR,article,,,Pro Pack,2025.08,True,2,"antipattern,bad",예외 적용 시 합리적 입증자료를 제시한다.,
요구가 있으면 즉시 모든 사본까지 완전 삭제하며 백업/법적 보존 예외는 없다.,Term_ReturnDestruction,NoBackupException,recipient,NDA,KR,article,,,현장 안티패턴,2025.08,True,2,"antipattern,bad",백업/법적 보존/보존정책 예외를 인정하고 파기 증명 절차를 둔다.,
우회 거래에 대한 제한을 두지 않는다.,NonCircumvention,,recipient,NDA,US,article,,,Pro Pack,2025.08,True,2,"antipattern,bad",우회 거래 발생 시 사전 협의 및 합리적 보상 원칙을 둔다.,
일부 무효 시 계약 전체가 무효가 된다.,Severability_Waiver,,recipient,NDA,KR,article,,,Pro Pack,2025.08,True,2,"antipattern,bad",무효 조항은 당사자 의도에 가장 가까운 유효 조항으로 대체한다.,
잔존지식 예외를 무제한으로 허용한다.,Residuals,,recipient,NDA,US,article,,,Pro Pack,2025.08,True,2,"antipattern,bad",잔존지식 예외는 사람의 기억에 한정하고 문서/코드 재현은 금지한다.,
전자서명의 효력을 부정한다.,ESignature_Counterparts,,recipient,NDA,US,article,,,Pro Pack,2025.08,True,2,"antipattern,bad",스캔본 서명은 임시로 인정하고 원본 제출을 요구한다.,
제3자도 계약상 권리를 자유롭게 행사할 수 있다.,ThirdPartyBeneficiaries,,recipient,NDA,US,article,,,Pro Pack,2025.08,True,2,"antipattern,bad",제휴사에 한해 명시적으로 승인된 범위에서만 제3자 권리를 인정한다.,
준거법과 관할을 별도로 정하지 않는다.,GoverningLaw_Jurisdiction,,recipient,NDA,KR,article,,,Pro Pack,2025.08,True,2,"antipattern,bad","준거법은 한국법으로 하며, 관할은 상호 합의된 중재기관으로 정한다.",
